id,zip_code,city,state_id,latitude,longitude
26739,63036,French Village,3948,37.9961,-90.4005
26740,63037,Gerald,3948,38.3507,-91.2931
26741,63038,Glencoe,3948,38.5878,-90.6639
26742,63039,Gray Summit,3948,38.503,-90.8292
26743,63040,Grover,3948,38.5667,-90.631
26744,63041,Grubville,3948,38.251,-90.7901
26745,63042,Hazelwood,3948,38.7809,-90.3669
26746,63043,Maryland Heights,3948,38.7229,-90.4474
26747,63044,Bridgeton,3948,38.7506,-90.4161
26748,63045,Earth City,3948,38.7689,-90.4662
26749,63047,Hematite,3948,38.1941,-90.4725
26750,63048,Herculaneum,3948,38.2625,-90.3896
26751,63049,High Ridge,3948,38.4728,-90.5281
26752,63050,Hillsboro,3948,38.2586,-90.5782
26753,63051,House Springs,3948,38.4131,-90.5575
26754,63052,Imperial,3948,38.4069,-90.4381
26755,63053,Kimmswick,3948,38.3653,-90.3629
26756,63055,Labadie,3948,38.52,-90.877
26757,63056,Leslie,3948,38.4555,-91.2328
26758,63057,Liguori,3948,38.3419,-90.4082
26759,63060,Lonedell,3948,38.2743,-90.8903
26760,63061,Luebbering,3948,38.2615,-90.8027
26761,63065,Mapaville,3948,38.2489,-90.4835
26762,63066,Morse Mill,3948,38.2809,-90.6521
26763,63068,New Haven,3948,38.574,-91.2291
26764,63069,Pacific,3948,38.4922,-90.748
26765,63070,Pevely,3948,38.2799,-90.4111
26766,63071,Richwoods,3948,38.1496,-90.831
26767,63072,Robertsville,3948,38.3816,-90.8016
26768,63073,Saint Albans,3948,38.5792,-90.7751
26769,63074,Saint Ann,3948,38.7259,-90.3864
26770,63077,Saint Clair,3948,38.3299,-90.9713
26771,63079,Stanton,3948,38.2744,-91.0855
26772,63080,Sullivan,3948,38.2307,-91.1567
26773,63084,Union,3948,38.4456,-91.0206
26774,63087,Valles Mines,3948,37.9998,-90.4407
26775,63088,Valley Park,3948,38.5576,-90.4924
26776,63089,Villa Ridge,3948,38.4601,-90.8822
26777,63090,Washington,3948,38.5459,-91.0193
26778,63091,Rosebud,3948,38.3853,-91.3974
26779,63099,Fenton,3948,38.6383,-90.4271
26780,63101,Saint Louis,3948,38.6346,-90.1913
26781,63102,Saint Louis,3948,38.6352,-90.1864
26782,63103,Saint Louis,3948,38.6332,-90.2164
26783,63104,Saint Louis,3948,38.6128,-90.2185
26784,63105,Saint Louis,3948,38.6459,-90.3264
26785,63106,Saint Louis,3948,38.6442,-90.2082
26786,63107,Saint Louis,3948,38.6645,-90.2125
26787,63108,Saint Louis,3948,38.6445,-90.2544
26788,63109,Saint Louis,3948,38.5855,-90.2929
26789,63110,Saint Louis,3948,38.6185,-90.2564
26790,63111,Saint Louis,3948,38.5633,-90.2495
26791,63112,Saint Louis,3948,38.6616,-90.2819
26792,63113,Saint Louis,3948,38.659,-90.2496
26793,63114,Saint Louis,3948,38.7023,-90.3644
26794,63115,Saint Louis,3948,38.6756,-90.2385
26795,63116,Saint Louis,3948,38.5814,-90.2625
26796,63117,Saint Louis,3948,38.6295,-90.3342
26797,63118,Saint Louis,3948,38.5943,-90.2309
26798,63119,Saint Louis,3948,38.5893,-90.3481
26799,63120,Saint Louis,3948,38.6909,-90.2595
26800,63121,Saint Louis,3948,38.7071,-90.3055
26801,63122,Saint Louis,3948,38.5781,-90.4256
26802,63123,Saint Louis,3948,38.5476,-90.3241
