id,onet_id,related_onet_id,index,active_status
274,603,462,1,1
275,603,404,2,1
276,603,410,3,1
277,603,455,4,1
278,603,429,5,1
279,603,10,6,1
280,603,610,7,1
281,603,405,8,1
282,603,403,9,1
283,603,912,10,1
284,656,294,1,1
285,656,275,2,1
286,656,970,3,1
287,656,295,4,1
288,656,152,5,1
289,656,524,6,1
290,656,548,7,1
291,656,1060,8,1
292,656,870,9,1
293,656,621,10,1
294,718,108,1,1
295,718,346,2,1
296,718,639,3,1
297,718,150,4,1
298,718,908,5,1
299,718,1110,6,1
300,718,42,7,1
301,718,982,8,1
302,718,438,9,1
303,718,983,10,1
304,171,903,1,1
305,171,904,2,1
306,171,77,3,1
307,171,168,4,1
308,171,441,5,1
309,171,621,6,1
310,171,1061,7,1
311,171,525,8,1
312,171,972,9,1
313,171,780,10,1
314,832,404,1,1
315,832,10,2,1
316,832,410,3,1
317,832,462,4,1
318,832,398,5,1
319,832,912,6,1
320,832,405,7,1
321,832,603,8,1
322,832,1101,9,1
323,832,1066,10,1
324,857,10,1,1
325,857,890,2,1
326,857,1101,3,1
327,857,598,4,1
328,857,849,5,1
329,857,891,6,1
330,857,404,7,1
331,857,1073,8,1
332,857,14,9,1
333,857,68,10,1
334,970,524,1,1
335,970,656,2,1
336,970,294,3,1
337,970,1060,4,1
338,970,166,5,1
339,970,295,6,1
340,970,296,7,1
341,970,1061,8,1
342,970,326,9,1
343,970,154,10,1
344,326,742,1,1
345,326,138,2,1
346,326,983,3,1
347,326,537,4,1
348,326,406,5,1
349,326,610,6,1
350,326,970,7,1
351,326,1066,8,1
352,326,462,9,1
353,326,1060,10,1
354,903,904,1,1
355,903,171,2,1
356,903,621,3,1
357,903,525,4,1
358,903,1061,5,1
359,903,77,6,1
360,903,1066,7,1
361,903,441,8,1
362,903,524,9,1
363,903,187,10,1
364,1016,610,1,1
365,1016,1066,2,1
366,1016,870,3,1
367,1016,869,4,1
368,1016,608,5,1
369,1016,918,6,1
370,1016,77,7,1
371,1016,607,8,1
372,1016,403,9,1
373,1016,1011,10,1
374,17,867,1,1
375,17,13,2,1
376,17,557,3,1
377,17,866,4,1
378,17,223,5,1
379,17,1027,6,1
380,17,525,7,1
381,17,929,8,1
382,17,633,9,1
383,17,665,10,1
384,131,1101,1,1
385,131,10,2,1
386,131,890,3,1
387,131,251,4,1
388,131,849,5,1
389,131,552,6,1
390,131,891,7,1
391,131,398,8,1
392,131,462,9,1
393,131,21,10,1
394,1101,10,1,1
395,1101,131,2,1
396,1101,857,3,1
397,1101,462,4,1
398,1101,404,5,1
399,1101,849,6,1
400,1101,890,7,1
401,1101,598,8,1
402,1101,251,9,1
403,1101,869,10,1
404,869,870,1,1
405,869,610,2,1
406,869,1016,3,1
407,869,1066,4,1
408,869,608,5,1
409,869,607,6,1
410,869,227,7,1
411,869,621,8,1
412,869,918,9,1
413,869,403,10,1
414,163,552,1,1
415,163,441,2,1
416,163,348,3,1
417,163,1030,4,1
418,163,558,5,1
419,163,239,6,1
420,163,525,7,1
421,163,929,8,1
422,163,557,9,1
423,163,597,10,1
424,552,68,1,1
425,552,163,2,1
426,552,849,3,1
427,552,1030,4,1
428,552,119,5,1
429,552,597,6,1
430,552,774,7,1
431,552,10,8,1
432,552,598,9,1
433,552,324,10,1
434,553,935,1,1
435,553,847,2,1
436,553,552,3,1
437,553,890,4,1
438,553,68,5,1
439,553,849,6,1
440,553,48,7,1
441,553,97,8,1
442,553,778,9,1
443,553,916,10,1
444,339,346,1,1
445,339,983,2,1
446,339,742,3,1
447,339,344,4,1
448,339,529,5,1
449,339,852,6,1
450,339,21,7,1
451,339,889,8,1
452,339,437,9,1
453,339,412,10,1
454,590,458,1,1
455,590,41,2,1
456,590,826,3,1
457,590,280,4,1
458,590,824,5,1
459,590,563,6,1
460,590,1063,7,1
461,590,225,8,1
462,590,971,9,1
463,590,1068,10,1
464,348,525,1,1
465,348,50,2,1
466,348,163,3,1
467,348,929,4,1
468,348,441,5,1
469,348,904,6,1
470,348,1014,7,1
471,348,930,8,1
472,348,848,9,1
473,348,524,10,1
474,478,208,1,1
475,478,244,2,1
476,478,410,3,1
477,478,462,4,1
478,478,21,5,1
479,478,743,6,1
480,478,393,7,1
481,478,329,8,1
482,478,394,9,1
483,478,398,10,1
484,224,807,1,1
485,224,735,2,1
486,224,491,3,1
487,224,736,4,1
488,224,169,5,1
489,224,719,6,1
490,224,744,7,1
491,224,156,8,1
492,224,361,9,1
493,224,12,10,1
494,904,903,1,1
495,904,918,2,1
496,904,77,3,1
497,904,632,4,1
498,904,171,5,1
499,904,188,6,1
500,904,608,7,1
501,904,558,8,1
502,904,239,9,1
503,904,869,10,1
504,227,918,1,1
505,227,608,2,1
506,227,869,3,1
507,227,610,4,1
508,227,632,5,1
509,227,1016,6,1
510,227,904,7,1
511,227,375,8,1
512,227,121,9,1
513,227,1067,10,1
514,525,621,1,1
515,525,867,2,1
516,525,441,3,1
517,525,1061,4,1
518,525,524,5,1
519,525,866,6,1
520,525,632,7,1
521,525,929,8,1
522,525,348,9,1
523,525,557,10,1
524,365,962,1,1
525,365,218,2,1
526,365,397,3,1
527,365,388,4,1
528,365,776,5,1
529,365,88,6,1
530,365,399,7,1
531,365,916,8,1
532,365,231,9,1
533,365,854,10,1
534,607,610,1,1
535,607,608,2,1
536,607,869,3,1
537,607,1066,4,1
538,607,870,5,1
539,607,1016,6,1
540,607,621,7,1
541,607,544,8,1
542,607,918,9,1
543,607,1067,10,1
544,609,608,1,1
545,609,331,2,1
546,609,386,3,1
547,609,310,4,1
548,609,321,5,1
549,609,1064,6,1
550,609,684,7,1
551,609,610,8,1
552,609,932,9,1
553,609,534,10,1
554,608,610,1,1
555,608,607,2,1
556,608,869,3,1
557,608,609,4,1
558,608,227,5,1
559,608,918,6,1
560,608,1016,7,1
561,608,1066,8,1
562,608,870,9,1
563,608,1011,10,1
564,621,525,1,1
565,621,1061,2,1
566,621,441,3,1
567,621,632,4,1
568,621,633,5,1
569,621,903,6,1
570,621,869,7,1
571,621,1066,8,1
572,621,607,9,1
573,621,1060,10,1
574,665,867,1,1
575,665,13,2,1
576,665,17,3,1
577,665,525,4,1
578,665,10,5,1
579,665,866,6,1
580,665,633,7,1
581,665,223,8,1
582,665,894,9,1
583,665,1073,10,1
584,188,187,1,1
585,188,121,2,1
586,188,632,3,1
587,188,239,4,1
588,188,918,5,1
589,188,375,6,1
590,188,558,7,1
591,188,788,8,1
592,188,525,9,1
593,188,621,10,1
594,1061,1060,1,1
595,1061,621,2,1
596,1061,525,3,1
597,1061,524,4,1
598,1061,490,5,1
599,1061,633,6,1
600,1061,184,7,1
601,1061,632,8,1
602,1061,903,9,1
603,1061,866,10,1
604,632,918,1,1
605,632,1020,2,1
606,632,633,3,1
607,632,375,4,1
608,632,188,5,1
609,632,187,6,1
610,632,621,7,1
611,632,867,8,1
612,632,904,9,1
613,632,13,10,1
614,329,208,1,1
615,329,341,2,1
616,329,743,3,1
617,329,983,4,1
618,329,1022,5,1
619,329,160,6,1
620,329,331,7,1
621,329,344,8,1
622,329,944,9,1
623,329,1059,10,1
624,251,598,1,1
625,251,1072,2,1
626,251,240,3,1
627,251,10,4,1
628,251,119,5,1
629,251,849,6,1
630,251,404,7,1
631,251,1055,8,1
632,251,597,9,1
633,251,131,10,1
634,1,121,1,1
635,1,239,2,1
636,1,375,3,1
637,1,188,4,1
638,1,77,5,1
639,1,558,6,1
640,1,788,7,1
641,1,918,8,1
642,1,114,9,1
643,1,187,10,1
644,77,918,1,1
645,77,375,2,1
646,77,187,3,1
647,77,632,4,1
648,77,1,5,1
649,77,377,6,1
650,77,188,7,1
651,77,121,8,1
652,77,227,9,1
653,77,1074,10,1
654,68,552,1,1
655,68,48,2,1
656,68,890,3,1
657,68,1030,4,1
658,68,891,5,1
659,68,160,6,1
660,68,10,7,1
661,68,131,8,1
662,68,849,9,1
663,68,158,10,1
664,48,68,1,1
665,48,158,2,1
666,48,552,3,1
667,48,163,4,1
668,48,890,5,1
669,48,442,6,1
670,48,869,7,1
671,48,239,8,1
672,48,891,9,1
673,48,557,10,1
674,121,1,1,1
675,121,188,2,1
676,121,375,3,1
677,121,239,4,1
678,121,77,5,1
679,121,187,6,1
680,121,918,7,1
681,121,632,8,1
682,121,788,9,1
683,121,114,10,1
684,239,1,1,1
685,239,121,2,1
686,239,558,3,1
687,239,188,4,1
688,239,788,5,1
689,239,375,6,1
690,239,114,7,1
691,239,119,8,1
692,239,77,9,1
693,239,597,10,1
694,375,77,1,1
695,375,1,2,1
696,375,121,3,1
697,375,918,4,1
698,375,632,5,1
699,375,187,6,1
700,375,188,7,1
701,375,788,8,1
702,375,377,9,1
703,375,239,10,1
704,788,929,1,1
705,788,930,2,1
706,788,557,3,1
707,788,239,4,1
708,788,598,5,1
709,788,375,6,1
710,788,632,7,1
711,788,121,8,1
712,788,188,9,1
713,788,379,10,1
714,558,239,1,1
715,558,1,2,1
716,558,788,3,1
717,558,121,4,1
718,558,188,5,1
719,558,904,6,1
720,558,168,7,1
721,558,632,8,1
722,558,187,9,1
723,558,163,10,1
724,377,918,1,1
725,377,375,2,1
726,377,187,3,1
727,377,379,4,1
728,377,441,5,1
729,377,632,6,1
730,377,524,7,1
731,377,904,8,1
732,377,621,9,1
733,377,121,10,1
734,596,441,1,1
735,596,930,2,1
736,596,379,3,1
737,596,929,4,1
738,596,557,5,1
739,596,933,6,1
740,596,348,7,1
741,596,525,8,1
742,596,375,9,1
743,596,598,10,1
744,598,557,1,1
745,598,251,2,1
746,598,1031,3,1
747,598,597,4,1
748,598,119,5,1
749,598,788,6,1
750,598,929,7,1
751,598,891,8,1
752,598,240,9,1
753,598,324,10,1
754,1030,598,1,1
755,1030,119,2,1
756,1030,597,3,1
757,1030,324,4,1
758,1030,523,5,1
759,1030,1031,6,1
760,1030,703,7,1
761,1030,10,8,1
762,1030,849,9,1
763,1030,114,10,1
764,1031,119,1,1
765,1031,114,2,1
766,1031,598,3,1
767,1031,1030,4,1
768,1031,597,5,1
769,1031,97,6,1
770,1031,1055,7,1
771,1031,1,8,1
772,1031,239,9,1
773,1031,788,10,1
774,918,227,1,1
775,918,632,2,1
776,918,375,3,1
777,918,187,4,1
778,918,608,5,1
779,918,121,6,1
780,918,1016,7,1
781,918,904,8,1
782,918,441,9,1
783,918,621,10,1
784,441,621,1,1
785,441,525,2,1
786,441,918,3,1
787,441,77,4,1
788,441,869,5,1
789,441,163,6,1
790,441,610,7,1
791,441,524,8,1
792,441,375,9,1
793,441,377,10,1
794,191,908,1,1
795,191,202,2,1
796,191,980,3,1
797,191,201,4,1
798,191,200,5,1
799,191,752,6,1
800,191,1005,7,1
801,191,979,8,1
802,191,194,9,1
803,191,260,10,1
804,201,980,1,1
805,201,981,2,1
806,201,194,3,1
807,201,260,4,1
808,201,979,5,1
809,201,720,6,1
810,201,544,7,1
811,201,1095,8,1
812,201,1094,9,1
813,201,199,10,1
814,542,192,1,1
815,542,201,2,1
816,542,544,3,1
817,542,981,4,1
818,542,980,5,1
819,542,609,6,1
820,542,1061,7,1
821,542,191,8,1
822,542,972,9,1
823,542,171,10,1
824,544,201,1,1
825,544,194,2,1
826,544,202,3,1
827,544,980,4,1
828,544,608,5,1
829,544,981,6,1
830,544,1094,7,1
831,544,1082,8,1
832,544,260,9,1
833,544,192,10,1
834,199,980,1,1
835,199,979,2,1
836,199,260,3,1
837,199,981,4,1
838,199,201,5,1
839,199,1095,6,1
840,199,972,7,1
841,199,467,8,1
842,199,1004,9,1
843,199,198,10,1
844,979,201,1,1
845,979,980,2,1
846,979,981,3,1
847,979,260,4,1
848,979,199,5,1
849,979,202,6,1
850,979,194,7,1
851,979,1095,8,1
852,979,720,9,1
853,979,544,10,1
854,980,201,1,1
855,980,202,2,1
856,980,260,3,1
857,980,979,4,1
858,980,981,5,1
859,980,194,6,1
860,980,199,7,1
861,980,1095,8,1
862,980,544,9,1
863,980,467,10,1
864,1095,1094,1,1
865,1095,980,2,1
866,1095,260,3,1
867,1095,201,4,1
868,1095,981,5,1
869,1095,271,6,1
870,1095,979,7,1
871,1095,199,8,1
872,1095,203,9,1
873,1095,198,10,1
874,260,201,1,1
875,260,980,2,1
876,260,979,3,1
877,260,1095,4,1
878,260,199,5,1
879,260,194,6,1
880,260,544,7,1
881,260,1094,8,1
882,260,972,9,1
883,260,203,10,1
884,720,194,1,1
885,720,201,2,1
886,720,260,3,1
887,720,979,4,1
888,720,202,5,1
889,720,980,6,1
890,720,203,7,1
891,720,544,8,1
892,720,198,9,1
893,720,1094,10,1
894,194,202,1,1
895,194,201,2,1
896,194,720,3,1
897,194,980,4,1
898,194,544,5,1
899,194,193,6,1
900,194,321,7,1
901,194,260,8,1
902,194,979,9,1
903,194,192,10,1
904,203,198,1,1
905,203,204,2,1
906,203,74,3,1
907,203,75,4,1
908,203,118,5,1
909,203,990,6,1
910,203,308,7,1
911,203,1094,8,1
912,203,271,9,1
913,203,318,10,1
914,981,201,1,1
915,981,980,2,1
916,981,979,3,1
917,981,202,4,1
918,981,260,5,1
919,981,544,6,1
920,981,1094,7,1
921,981,199,8,1
922,981,1095,9,1
923,981,194,10,1
924,202,194,1,1
925,202,980,2,1
926,202,201,3,1
927,202,981,4,1
928,202,544,5,1
929,202,979,6,1
930,202,192,7,1
931,202,193,8,1
932,202,609,9,1
933,202,1094,10,1
934,1094,1095,1,1
935,1094,980,2,1
936,1094,201,3,1
937,1094,203,4,1
938,1094,544,5,1
939,1094,271,6,1
940,1094,260,7,1
941,1094,198,8,1
942,1094,199,9,1
943,1094,972,10,1
944,473,467,1,1
945,473,908,2,1
946,473,632,3,1
947,473,1067,4,1
948,473,608,5,1
949,473,472,6,1
950,473,980,7,1
951,473,227,8,1
952,473,544,9,1
953,473,158,10,1
954,467,473,1,1
955,467,142,2,1
956,467,980,3,1
957,467,908,4,1
958,467,628,5,1
959,467,199,6,1
960,467,972,7,1
961,467,260,8,1
962,467,471,9,1
963,467,158,10,1
964,4,918,1,1
965,4,77,2,1
966,4,632,3,1
967,4,375,4,1
968,4,187,5,1
969,4,377,6,1
970,4,188,7,1
971,4,121,8,1
972,4,1020,9,1
973,4,227,10,1
974,644,752,1,1
975,644,112,2,1
976,644,69,3,1
977,644,1005,4,1
978,644,291,5,1
979,644,908,6,1
980,644,642,7,1
981,644,200,8,1
982,644,809,9,1
983,644,1020,10,1
984,752,112,1,1
985,752,291,2,1
986,752,1020,3,1
987,752,908,4,1
988,752,644,5,1
989,752,1005,6,1
990,752,4,7,1
991,752,632,8,1
992,752,918,9,1
993,752,227,10,1
994,1005,112,1,1
995,1005,752,2,1
996,1005,908,3,1
997,1005,644,4,1
998,1005,291,5,1
999,1005,972,6,1
1000,1005,168,7,1
1001,1005,632,8,1
1002,1005,290,9,1
1003,1005,1020,10,1
1004,112,1005,1,1
1005,112,752,2,1
1006,112,291,3,1
1007,112,644,4,1
1008,112,1020,5,1
1009,112,347,6,1
1010,112,908,7,1
1011,112,977,8,1
1012,112,168,9,1
1013,112,4,10,1
1014,168,904,1,1
1015,168,188,2,1
1016,168,972,3,1
1017,168,558,4,1
1018,168,239,5,1
1019,168,632,6,1
1020,168,199,7,1
1021,168,171,8,1
1022,168,260,9,1
1023,168,1004,10,1
1024,52,54,1,1
1025,52,161,2,1
1026,52,560,3,1
1027,52,56,4,1
1028,52,212,5,1
1029,52,1079,6,1
1030,52,932,7,1
1031,52,869,8,1
1032,52,610,9,1
1033,52,983,10,1
1034,574,560,1,1
1035,574,52,2,1
1036,574,161,3,1
1037,574,1067,4,1
1038,574,983,5,1
1039,574,889,6,1
1040,574,56,7,1
1041,574,158,8,1
1042,574,212,9,1
1043,574,54,10,1
1044,142,628,1,1
1045,142,467,2,1
1046,142,199,3,1
1047,142,980,4,1
1048,142,55,5,1
1049,142,260,6,1
1050,142,473,7,1
1051,142,159,8,1
1052,142,471,9,1
1053,142,972,10,1
1054,1023,465,1,1
1055,1023,983,2,1
1056,1023,1022,3,1
1057,1023,344,4,1
1058,1023,341,5,1
1059,1023,432,6,1
1060,1023,161,7,1
1061,1023,212,8,1
1062,1023,839,9,1
1063,1023,393,10,1
1064,465,1023,1,1
1065,465,983,2,1
1066,465,344,3,1
1067,465,1022,4,1
1068,465,341,5,1
1069,465,471,6,1
1070,465,608,7,1
1071,465,839,8,1
1072,465,472,9,1
1073,465,470,10,1
1074,16,310,1,1
1075,16,650,2,1
1076,16,1082,3,1
1077,16,331,4,1
1078,16,852,5,1
1079,16,609,6,1
1080,16,386,7,1
1081,16,727,8,1
1082,16,638,9,1
1083,16,321,10,1
1084,19,331,1,1
1085,19,529,2,1
1086,19,161,3,1
1087,19,146,4,1
1088,19,342,5,1
1089,19,386,6,1
1090,19,537,7,1
1091,19,427,8,1
1092,19,983,9,1
1093,19,98,10,1
1094,111,800,1,1
1095,111,98,2,1
1096,111,146,3,1
1097,111,625,4,1
1098,111,609,5,1
1099,111,99,6,1
1100,111,1082,7,1
1101,111,427,8,1
1102,111,19,9,1
1103,111,342,10,1
1104,146,386,1,1
1105,146,19,2,1
1106,146,684,3,1
1107,146,331,4,1
1108,146,98,5,1
1109,146,537,6,1
1110,146,609,7,1
1111,146,342,8,1
1112,146,427,9,1
1113,146,742,10,1
1114,161,1064,1,1
1115,161,386,2,1
1116,161,331,3,1
1117,161,684,4,1
1118,161,342,5,1
1119,161,19,6,1
1120,161,609,7,1
1121,161,212,8,1
1122,161,54,9,1
1123,161,983,10,1
1124,1064,161,1,1
1125,1064,386,2,1
1126,1064,609,3,1
1127,1064,331,4,1
1128,1064,1067,5,1
1129,1064,54,6,1
1130,1064,608,7,1
1131,1064,212,8,1
1132,1064,610,9,1
1133,1064,227,10,1
1134,193,980,1,1
1135,193,194,2,1
1136,193,202,3,1
1137,193,260,4,1
1138,193,201,5,1
1139,193,544,6,1
1140,193,310,7,1
1141,193,981,8,1
1142,193,979,9,1
1143,193,321,10,1
1144,310,16,1,1
1145,310,650,2,1
1146,310,321,3,1
1147,310,800,4,1
1148,310,609,5,1
1149,310,1082,6,1
1150,310,331,7,1
1151,310,386,8,1
1152,310,534,9,1
1153,310,193,10,1
1154,321,800,1,1
1155,321,310,2,1
1156,321,609,3,1
1157,321,625,4,1
1158,321,202,5,1
1159,321,15,6,1
1160,321,16,7,1
1161,321,320,8,1
1162,321,919,9,1
1163,321,534,10,1
1164,342,684,1,1
1165,342,331,2,1
1166,342,386,3,1
1167,342,161,4,1
1168,342,346,5,1
1169,342,19,6,1
1170,342,529,7,1
1171,342,630,8,1
1172,342,983,9,1
1173,342,146,10,1
1174,537,742,1,1
1175,537,146,2,1
1176,537,19,3,1
1177,537,427,4,1
1178,537,331,5,1
1179,537,342,6,1
1180,537,983,7,1
1181,537,743,8,1
1182,537,326,9,1
1183,537,339,10,1
1184,386,331,1,1
1185,386,161,2,1
1186,386,342,3,1
1187,386,684,4,1
1188,386,1064,5,1
1189,386,609,6,1
1190,386,146,7,1
1191,386,852,8,1
1192,386,212,9,1
1193,386,742,10,1
1194,852,1082,1,1
1195,852,331,2,1
1196,852,386,3,1
1197,852,16,4,1
1198,852,310,5,1
1199,852,742,6,1
1200,852,638,7,1
1201,852,472,8,1
1202,852,339,9,1
1203,852,534,10,1
1204,534,1082,1,1
1205,534,532,2,1
1206,534,638,3,1
1207,534,310,4,1
1208,534,331,5,1
1209,534,650,6,1
1210,534,625,7,1
1211,534,608,8,1
1212,534,852,9,1
1213,534,386,10,1
1214,630,331,1,1
1215,630,386,2,1
1216,630,161,3,1
1217,630,342,4,1
1218,630,626,5,1
1219,630,609,6,1
1220,630,625,7,1
1221,630,212,8,1
1222,630,650,9,1
1223,630,310,10,1
1224,629,331,1,1
1225,629,386,2,1
1226,629,310,3,1
1227,629,650,4,1
1228,629,609,5,1
1229,629,161,6,1
1230,629,1082,7,1
1231,629,1064,8,1
1232,629,180,9,1
1233,629,54,10,1
1234,638,1082,1,1
1235,638,534,2,1
1236,638,98,3,1
1237,638,16,4,1
1238,638,310,5,1
1239,638,331,6,1
1240,638,852,7,1
1241,638,639,8,1
1242,638,151,9,1
1243,638,609,10,1
1244,650,16,1,1
1245,650,310,2,1
1246,650,800,3,1
1247,650,625,4,1
1248,650,321,5,1
1249,650,1082,6,1
1250,650,534,7,1
1251,650,609,8,1
1252,650,532,9,1
1253,650,852,10,1
1254,684,342,1,1
1255,684,161,2,1
1256,684,331,3,1
1257,684,386,4,1
1258,684,146,5,1
1259,684,19,6,1
1260,684,1064,7,1
1261,684,609,8,1
1262,684,791,9,1
1263,684,529,10,1
1264,727,146,1,1
1265,727,386,2,1
1266,727,331,3,1
1267,727,609,4,1
1268,727,310,5,1
1269,727,161,6,1
1270,727,1082,7,1
1271,727,19,8,1
1272,727,16,9,1
1273,727,800,10,1
1274,791,472,1,1
1275,791,331,2,1
1276,791,684,3,1
1277,791,1082,4,1
1278,791,609,5,1
1279,791,608,6,1
1280,791,534,7,1
1281,791,310,8,1
1282,791,386,9,1
1283,791,161,10,1
1284,98,1082,1,1
1285,98,427,2,1
1286,98,638,3,1
1287,98,146,4,1
1288,98,111,5,1
1289,98,99,6,1
1290,98,151,7,1
1291,98,727,8,1
1292,98,800,9,1
1293,98,331,10,1
1294,1082,852,1,1
1295,1082,331,2,1
1296,1082,534,3,1
1297,1082,638,4,1
1298,1082,16,5,1
1299,1082,98,6,1
1300,1082,310,7,1
1301,1082,386,8,1
1302,1082,427,9,1
1303,1082,609,10,1
1304,331,386,1,1
1305,331,161,2,1
1306,331,342,3,1
1307,331,684,4,1
1308,331,19,5,1
1309,331,1082,6,1
1310,331,630,7,1
1311,331,529,8,1
1312,331,609,9,1
1313,331,212,10,1
1314,626,625,1,1
1315,626,919,2,1
1316,626,630,3,1
1317,626,650,4,1
1318,626,146,5,1
1319,626,320,6,1
1320,626,800,7,1
1321,626,321,8,1
1322,626,534,9,1
1323,626,609,10,1
1324,800,321,1,1
1325,800,310,2,1
1326,800,650,3,1
1327,800,111,4,1
1328,800,625,5,1
1329,800,16,6,1
1330,800,609,7,1
1331,800,98,8,1
1332,800,919,9,1
1333,800,331,10,1
1334,919,626,1,1
