id,job_id,certification_id,default_weightage,date_created,date_updated
243,53,44217,4,2018-03-16 15:24:18.143442+00,2018-03-16 15:24:18.143467+00
244,53,1739,3,2018-03-16 15:24:18.147845+00,2018-03-16 15:24:18.147871+00
245,54,44217,5,2018-03-16 17:56:14.990613+00,2018-03-16 17:56:14.990646+00
246,55,7802,5,2018-03-29 00:25:42.044128+00,2018-03-29 00:25:42.044163+00
247,55,1739,2,2018-03-29 00:25:42.058646+00,2018-03-29 00:25:42.05867+00
248,55,728,3,2018-03-29 00:25:42.063588+00,2018-03-29 00:25:42.063612+00
249,55,40025,5,2018-03-29 00:25:42.068461+00,2018-03-29 00:25:42.068484+00
250,56,44217,5,2018-04-24 16:47:37.356612+00,2018-04-24 16:47:37.356645+00
251,56,1739,4,2018-04-24 16:47:37.363824+00,2018-04-24 16:47:37.363851+00
252,56,50401,5,2018-04-24 16:47:37.367437+00,2018-04-24 16:47:37.36746+00
253,56,146488,,2018-04-24 16:47:37.3711+00,2018-04-24 16:47:37.371123+00
254,59,2651,5,2018-06-28 18:08:02.747529+00,2018-06-28 18:08:02.747566+00
255,59,636,3,2018-06-28 18:08:02.760934+00,2018-06-28 18:08:02.76097+00
256,59,728,4,2018-06-28 18:08:02.764659+00,2018-06-28 18:08:02.764688+00
