id,job_id,default_weightage,date_created,date_updated,skill_id,experience_months
84,4,5,2017-02-10 22:42:52.516483+00,2017-02-10 22:42:52.516509+00,178,12
17,1,1,2017-01-18 00:11:47.878519+00,2017-01-18 00:11:47.878542+00,34,6
26,1,3,2017-01-18 00:11:47.911993+00,2017-01-18 00:11:47.912016+00,106,12
25,1,5,2017-01-18 00:11:47.909209+00,2017-01-18 00:11:47.909233+00,252,18
21,1,5,2017-01-18 00:11:47.897604+00,2017-01-18 00:11:47.897628+00,12,12
8,1,3,2017-01-18 00:11:47.851833+00,2017-01-18 00:11:47.851873+00,32,12
19,1,3,2017-01-18 00:11:47.891859+00,2017-01-18 00:11:47.891883+00,3,6
279,8,1,2017-04-07 16:52:02.952591+00,2017-04-07 16:52:02.952625+00,190,12
14,1,1,2017-01-18 00:11:47.869766+00,2017-01-18 00:11:47.869789+00,13,12
24,1,1,2017-01-18 00:11:47.906146+00,2017-01-18 00:11:47.90617+00,127,12
22,1,3,2017-01-18 00:11:47.900412+00,2017-01-18 00:11:47.900436+00,114,12
1,1,5,2017-01-11 18:17:11.986686+00,2017-01-11 18:17:11.986686+00,52,18
325,13,1,2017-05-25 23:45:11.740774+00,2017-05-25 23:45:11.740812+00,114,18
16,1,1,2017-01-18 00:11:47.875455+00,2017-01-18 00:11:47.875482+00,79,12
7,1,1,2017-01-18 00:11:47.848707+00,2017-01-18 00:11:47.84873+00,31,12
29,2,4,2017-01-18 03:52:28.057984+00,2017-01-18 03:52:28.058013+00,14,6
326,13,1,2017-05-25 23:45:11.74522+00,2017-05-25 23:45:11.745245+00,190,12
401,12,5,2017-06-18 03:19:53.103188+00,2017-06-18 03:19:53.103211+00,203,18
402,12,4,2017-06-18 03:19:53.107266+00,2017-06-18 03:19:53.107289+00,57,12
403,12,3,2017-06-18 03:19:53.111205+00,2017-06-18 03:19:53.111229+00,66,12
404,12,2,2017-06-18 03:19:53.115244+00,2017-06-18 03:19:53.115267+00,176,12
405,12,5,2017-06-18 03:19:53.119649+00,2017-06-18 03:19:53.119675+00,182,12
